Title,Company,Location,Summary,Post_Date,Extracted_Date,Salary
"Plant Equipment Operator, 8695 [ON-SITE]",Southern California Edison,"Avalon, CA 90704","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",Posted30+ days ago,22-01-10,None
Fitness Center CSR,Catalina Island Medical Center,"Avalon, CA 90704","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",Posted4 days ago,22-01-10,None
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",PostedJust posted,22-01-10,None
Find jobs with Flexible Hours!,Indeed Gigs,California,"Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!",PostedToday,22-01-10,None
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA 90704","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,$30 - $50 an hour
Front Desk / Guest Services Agent,Hotel Vista Del Mar,"Avalon, CA 90704","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!",EmployerActive 3 days ago,22-01-10,None
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",PostedToday,22-01-10,None
Visitor Service Center Agent,Catalina Island Company,"Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.",Posted3 days ago,22-01-10,None
"Plant Equipment Operator, 8695 [ON-SITE]",Southern California Edison,"Avalon, CA 90704","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",Posted30+ days ago,22-01-10,None
Fitness Center CSR,Catalina Island Medical Center,"Avalon, CA 90704","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",Posted4 days ago,22-01-10,None
Housekeeper,Catalina Island Medical Center,"Avalon, CA 90704","As applicable, all CIMC housekeeping team members who drive a CIMC cart must have a valid driver's license, sign the Driver Policy, and understand the key",Posted4 days ago,22-01-10,None
Limpia de casa,Catalina Island Medical Center,"Avalon, CA",Se asocia con un equipo comunitario para asegurar que la comunidad cumpla con los requisitos de OSHA y la promoción de programas y políticas de Gestión de,Posted4 days ago,22-01-10,$19 - $23 an hour
Food Service Worker,Catalina Island Medical Center,"Avalon, CA 90704","Prepares and delivers food and trays, washes dishes, and cleans and sanitizes the kitchen according to health standards. Must live in service area.",Posted4 days ago,22-01-10,None
Part-time Guest Services Representative,Catalina Island Conservancy,"Santa Catalina Island, CA","Answer and direct calls not handled by auto attend system, including internal calls. Memorable experience for each and every person who calls or visits a",Posted30+ days ago,22-01-10,None
Manager,MMW Hospitaly Corp,"Avalon, CA 90704","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",Posted3 days ago,22-01-10,From $20 an hour
Airport Operations Assistant Manager,Catalina Island Conservancy,"Santa Catalina Island, CA",A valid driver's license with no major driving citation in the last 39 months is required for all driving. Preferred candidates will also have a current private,Posted30+ days ago,22-01-10,None
Distribution Journeyman Lineman - Catalina Island [ONSITE],Southern California Edison,"Avalon, CA 90704","Skills in electrical utility construction methods and standards, overhead and underground materials, use of hand or power tools, and operation of construction",Posted3 days ago,22-01-10,None
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",PostedJust posted,22-01-10,None
Find jobs with Flexible Hours!,Indeed Gigs,California,"Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!",PostedToday,22-01-10,None
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA 90704","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,$30 - $50 an hour
Front Desk / Guest Services Agent,Hotel Vista Del Mar,"Avalon, CA 90704","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!",EmployerActive 3 days ago,22-01-10,None
Utility Pole Inspection Foreman,Osmose Utility Services Inc,California,"Possess a valid driver's license. Hire, train, and supervise a field crew of 1-5 people. Collect field data and maintain daily and weekly report.",Posted11 days ago,22-01-10,$26 - $32 an hour
U.S. Secret Service Criminal Investigator (Special Agent),United States Secret Service,California,"Or J.D.) or two full years of progressively higher level graduate education, in a related field, leading to such a degree from an accredited college or",Posted30+ days ago,22-01-10,"$49,508 - $146,120 a year"
Manager,MMW Hospitaly Corp,"Avalon, CA 90704","Job Types: Full-time, Part-time. Quick service & fast food restaurant. High school or equivalent (Preferred).",Posted3 days ago,22-01-10,From $20 an hour
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",PostedToday,22-01-10,None
Marine Interdiction Agent CBP LIVE Recruitment Webinar Janua...,U.S. Customs and Border Protection,California,"U. S Customs and Border Protection (CBP), a component of the Department of Homeland Security (DHS), is one of the world's largest law enforcement organizations",Posted4 days ago,22-01-10,"$56,551 - $72,970 a year"
Visitor Service Center Agent,Catalina Island Company,"Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.",Posted3 days ago,22-01-10,None
Communications Operator-Customer Service Rep,Inspire Malibu,California,Manage all incoming and outgoing communications- phone & email. Manage office supplies and needs. Assist with miscellaneous projects as needed.,PostedJust posted,22-01-10,$16 - $27 an hour
Border Patrol Agent GL-9,U.S. Customs and Border Protection,California,Driver's License: You must possess a valid driver's license. Experience: One year of specialized work experience equivalent to at least the GL-7 grade level,Posted30+ days ago,22-01-10,"$55,214 - $89,054 a year"
"Plant Equipment Operator, 8695 [ON-SITE]",Southern California Edison,"Avalon, CA 90704","Comprehensive understanding of location, nomenclature and function of station equipment for the gas plant, water plant, combustion turbine, tank farm,",Posted30+ days ago,22-01-10,None
Fitness Center CSR,Catalina Island Medical Center,"Avalon, CA 90704","Each shift will consist of greeting members, giving high fives, smiling, laughing, answering phones, miscellaneous administrative tasks, cleaning, cleaning",Posted4 days ago,22-01-10,None
Executive Assistant,Boldly,California Remote,"Maximizing the executive's time by reading, researching, and routing correspondence; drafting letters and documents; collecting and analyzing information;",EmployerActive 26 days ago,22-01-10,From $22 an hour
FedEx Delivery Driver Catalina Island $25/hr,TMV Trucking Inc,"Santa Catalina Island, CA","Have a valid CA driver license (you do NOT need a commercial driver license). Legal to work in U.S. and pass e-verify check, valid work permit or",PostedJust posted,22-01-10,None
Find jobs with Flexible Hours!,Indeed Gigs,California,"Whether it's hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule!",PostedToday,22-01-10,None
Game Host for Unique Sightseeing Tour,Fantastic Race,"Avalon, CA 90704","Responsibilities include: Host and set up the race, interact with race staff and vendors, meet race guests and run them through the course, perform awards",EmployerActive 5 days ago,22-01-10,$30 - $50 an hour
Front Desk / Guest Services Agent,Hotel Vista Del Mar,"Avalon, CA 90704","Use proper telephone and reservation etiquette including describing the hotel, proper rate quotation and capturing reservations. $500 Sign-On Bonus!",EmployerActive 3 days ago,22-01-10,None
Permits Supervisor,Catalina Island Conservancy,"Santa Catalina Island, CA","Strong personal communication skills and basic technical skills including basic computer office programs. Manage gate access including key card, fob issuance,",PostedToday,22-01-10,None
Visitor Service Center Agent,Catalina Island Company,"Two Harbors, CA","Making Safari Bus and Cyclone reservations for guests. Agent must be able to answer questions in a professional, polite, and positive manner.",Posted3 days ago,22-01-10,None
